stale_workbook,sheet,cell,old,new
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,G8,,Loan Amount
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,I8,,"=IFERROR(IF(OR(I6="""",I7=""""),"""",-I6*I7),"""")"
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,K8,,Negative = debt obligation
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,A9,,Building SF
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,B9,Year 1 Annual Base Rent,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,D9,From executed lease — Year 1,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,E9,,Per lease or survey — flag discrepancy
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,G9,,Down Payment / Equity
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,I9,,"=IFERROR(IF(OR(I6="""",I7=""""),"""",I6*(1-I7)),"""")"
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,A10,,Site Area (Acres)
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,B10,GLA / RBA for $/SF calcs,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,D10,Usually same as row 8,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,E10,,Per survey or tax record
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,G10,,Interest Rate
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,K10,,Default 6.5%
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,A11,,Year Built
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,E11,,Four-digit year
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,G11,,Amortization (years)
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,K11,,Default 25 years
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,A12,,Zoning
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,B12,PRICING & RETURNS,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,E12,,Confirm permitted use
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,G12,,IO Period (years)
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,K12,,Enter 0 if fully amortizing
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,A13,,Estimated Close Date
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,B13,Purchase Price,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,D13,From offer / listing price,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,E13,,Used for year-end date row on Pro Forma
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,G13,,Hold Period (years)
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,K13,,Default 10 — drives disposition year
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,B14,Hold Period (Years),
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,C14,10,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,D14,Default 10 years,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,G14,,Annual Debt Service
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,I14,,"=IFERROR(IF(OR(I8="""",I10="""",I11=""""),"""",ABS(I8)*(I10/12)*(1+I10/12)^(I11*12)/((1+I10/12)^(I11*12)-1)*12),"""")"
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,K14,,P&I payment (fully amortizing)
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,A15,,PRICING STRATEGY  ·  FUNGIBLE INPUTS
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,B15,Exit Cap Rate,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,D15,Based on market comp analysis,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,G15,,Monthly Debt Service
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,I15,,"=IFERROR(IF(I14="""","""",I14/12),"""")"
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,A16,,Recommended Asking Cap Rate
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,B16,Going-in Cap Rate,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,C16,"=IFERROR(IF(OR(C9="""",C13=""""),"""",C9/C13),"""")",
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,D16,Year 1 NOI ÷ Purchase Price,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,E16,,Drives Recommended Asking Price on Exec Summary
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,G16,,DCR (Year 1)
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,I16,,"=IFERROR(IF(OR(C33="""",I14="""",I14=0),"""",C33/I14),"""")"
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,K16,,Must exceed 1.20x
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,A17,,Trade Range — Low Cap Rate
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,E17,,Low = higher price
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,G17,,DSCR at 1.20x NOI Required
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,I17,,"=IFERROR(IF(I14="""","""",I14*1.20),"""")"
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,A18,,Trade Range — High Cap Rate
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,B18,DEBT / FINANCING,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,E18,,High = lower price
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,A19,,Implied Ask Price (NOI / Cap)
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,B19,LTV,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,C19,0.65,"=IFERROR(IF(OR(C33="""",C16="""",C16=0),"""",C33/C16),"""")"
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,D19,Default 65% — adjust per lender,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,E19,,Updates Executive Summary
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,G19,,DISPOSITION / EXIT ASSUMPTIONS
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,A20,,Broker Price Opinion (BPO)
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,B20,Interest Rate,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,C20,0.065,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,D20,Default 6.5% — verify current market,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,E20,,Override if needed
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,G20,,Exit Cap Rate
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,K20,,Applied to Year 10 NOI
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,A21,,Price Per SF
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,B21,Amortization (Years),
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,C21,25,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,D21,Default 25-year amortization,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,E21,,Manual entry or use Valuation Matrix
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,G21,,Exit NOI (Year 10 Projected)
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,I21,,"=IFERROR(IF(OR(C24="""",C25=""""),"""",C24*(1+C25)^(I13-1)),"""")"
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,K21,,Y1 rent * (1+escalation)^hold period
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,G22,,GROSS SALE PROCEEDS
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,I22,,"=IFERROR(IF(OR(I21="""",I20="""",I20=0),"""",I21/I20),"""")"
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,A23,,PRO FORMA INPUTS  —  REVENUE
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,B23,OPERATING ASSUMPTIONS,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,G23,,Less: Brokerage (5%)
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,I23,,"=IFERROR(IF(I22="""","""",-I22*0.05),"""")"
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,A24,,Year 1 Base Rent ($)
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,B24,Vacancy / Credit Loss %,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,C24,0,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,D24,NNN typically 0%; MOB 5–10%,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,E24,,Per executed lease / rent schedule
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,G24,,Less: Transaction Costs (1%)
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,I24,,"=IFERROR(IF(I22="""","""",-I22*0.01),"""")"
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,A25,,Annual Rent Escalation (%)
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,B25,Management Fee %,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,C25,0,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,D25,NNN typically 0%; MOB 3–5%,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,E25,,Fixed bump or avg CPI — label in Notes
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,G25,,NET REVERSION (Unleveraged)
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,I25,,"=IFERROR(IF(I22="""","""",I22+I23+I24),"""")"
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,A26,,Tenant Reimbursements ($/yr)
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,B26,Annual Rent Growth %,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,D26,Per lease escalation schedule,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,E26,,NNN = $0 for expense tracking purposes
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,G26,,Remaining Loan Balance at Exit
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,I26,,"=IFERROR(IF(OR(I8="""",I10="""",I11="""",I13=""""),"""",ABS(I8)*(1+I10/12)^(I13*12)-(ABS(I8)*(I10/12)*(1+I10/12)^(I11*12)/((1+I10/12)^(I11*12)-1))*(((1+I10/12)^(I13*12)-1)/(I10/12))),"""")"
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,K26,,Outstanding balance at hold period end
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,A27,,Effective Gross Revenue (Y1)
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,C27,,"=IFERROR(IF(C24="""","""",C24+IFERROR(C26,0)),"""")"
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,G27,,NET REVERSION AFTER DEBT
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,I27,,"=IFERROR(IF(OR(I25="""",I26=""""),"""",I25-I26),"""")"
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,B28,DISPOSITION ASSUMPTIONS,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,A29,,PRO FORMA INPUTS  —  EXPENSES
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,B29,Brokerage Fee %,
